ST	aroC	dnaN	hemD	hisD	purE	sucA	thrA	SEROTYPE	eBG
1	1	1	1	1	1	1	5	Typhi	13
2	1	1	2	1	1	1	5	Typhi	13
3	1	1	2	1	1	1	9	Typhi	13
4	43	41	16	13	34	13	4	Montevideo	40
5	16	43	45	43	36	39	42	Newport	2
6	4	4	4	5	4	4	8	Enteritidis	
7	2	2	3	2	2	2	6		99
8	1	1	2	3	1	1	5	Typhi	13
9	33	26	30	55	21	87	134		220
10	5	2	3	6	5	5	10	Dublin	53
10	5	2	3	6	5	5	10	Dublin_Rostock	53
10	5	2	3	6	5	5	10	Kiel	53
10	5	2	3	6	5	5	10	Naestved	53
10	5	2	3	6	5	5	10	Rostock	53
11	5	2	3	7	6	6	11		4
11	5	2	3	7	6	6	11	Antarctica	4
11	5	2	3	7	6	6	11	Dublin	4
11	5	2	3	7	6	6	11	Enteritidis	4
11	5	2	3	7	6	6	11	Moscow	4
11	5	2	3	7	6	6	11	Nitra	4
11	5	2	3	7	6	6	11	Rosenberg	4
11	5	2	3	7	6	6	11	Typhimurium	4
12	6	5	6	7	5	7	12	Hadar	22
13	3	3	7	4	3	3	7		54
13	3	3	7	4	3	3	7	Agona	54
14	7	6	8	8	7	8	13		55
14	7	6	8	8	7	8	13	Senftenberg	55
15	2	7	9	9	5	9	12		26
15	2	7	9	9	5	9	12	Austria	26
15	2	7	9	9	5	9	12	Crossness	26
15	2	7	9	9	5	9	12	Derby_diphasic	26
15	2	7	9	9	5	9	12	Heidelberg	26
16	6	7	10	10	8	10	14		9
16	6	7	10	10	8	10	14	Bulovka	9
16	6	7	10	10	8	10	14	Virchow	9
17	8	8	11	11	5	11	15		
17	8	8	11	11	5	11	15	Indiana	
18	9	9	6	12	9	12	2	Manhattan	27
19	10	7	12	9	5	9	2		1
19	10	7	12	9	5	9	2	Farsta	1
19	10	7	12	9	5	9	2	Hato	1
19	10	7	12	9	5	9	2	Typhimurium	1
19	10	7	12	9	5	9	2	Typhimurium_var_Copenhagen	1
20	11	10	13	13	10	13	4		12
20	11	10	13	13	10	13	4	Brandenburg	12
20	11	10	13	13	10	13	4	Goettingen	12
20	11	10	13	13	10	13	4	Sandiego	12
21	12	2	14	14	11	14	16	Braenderup	24
22	12	2	15	14	11	14	16	Braenderup	24
23	13	11	16	15	12	15	4	G_II	41
23	13	11	16	15	12	15	4	Oakey	41
23	13	11	16	15	12	15	4	Oranienburg	41
24	13	12	17	16	13	16	4	Eastbourne	17
24	13	12	17	16	13	16	4	Javiana	17
25	14	13	18	12	14	17	1	Thompson	28
26	14	13	18	12	14	18	1		28
26	14	13	18	12	14	18	1	Ochsenwerder	28
26	14	13	18	12	14	18	1	Thompson	28
27	5	14	18	9	6	12	17	Saintpaul	14
28	15	15	19	17	5	19	18	Chester	59
28	15	15	19	17	5	19	18	Paratyphi_B	59
29	16	16	20	18	8	12	18		29
